z,Angle_Î›CDM,Angle_HyperTwist,Ratio
0.1,0.002628658570857911,0.0018753594062063627,0.7134282964692157
0.2,0.0014692135175552767,0.0010673184930301111,0.7264556718795334
0.30000000000000004,0.0010883321930103265,0.0008043531338013183,0.7390695037481871
0.4,0.0009022311865842837,0.0006778140062368705,0.7512642173265768
0.5,0.0007941222644987385,0.0006059474516101018,0.7630405023243928
0.6000000000000001,0.0007250546295170683,0.0005614853556099107,0.7744042072855876
0.7000000000000001,0.0006783207367847936,0.0005327294674789339,0.7853651504213848
0.8,0.0006455573006929874,0.0005138222976558265,0.7959360030538775
0.9,0.0006221118198256058,0.00050150382720838,0.8061313275625668
1,0.0006051887666505586,0.0004938139400156394,0.81596679784503
1.1,0.0005930066102358748,0.0004895024046975014,0.8254585973380575
1.2000000000000002,0.0005843760734159305,0.0004875793855750728,0.8343589133021151
1.3,0.0005784728551562598,0.00048735366789262493,0.842483209970118
1.4000000000000001,0.0005747076256989666,0.0004884640282334316,0.8499348301483829
1.5,0.0005726479312843525,0.0004906439630663472,0.8567986301215054
1.6,0.0005719693206684246,0.0004936925474641096,0.863145154161699
1.7000000000000002,0.0005724236772156501,0.0004974554693935617,0.869033705616888
1.8,0.0005738180770222219,0.0005018122478783999,0.8745145333909837
1.9000000000000001,0.0005760003031097246,0.0005066675134563052,0.8796306368605991
2,0.0005788486916543848,0.0005119447813896751,0.8844190006312458
2.1,0.0005822648701019459,0.0005175820213131674,0.8889116412304705
2.2,0.0005861684696817622,0.0005235284608871083,0.8931365093235706
2.3000000000000003,0.0005904932132418428,0.0005297420681021936,0.8971179621081133
2.4000000000000004,0.0005951839785202032,0.0005361878748477048,0.9008775340035539
2.5,0.0006001945645846609,0.0005428364996096472,0.9044342145705603
2.6,0.0006054859727078619,0.0005496630490545054,0.9078047615146153
2.7,0.0006110250686991614,0.0005566463885224786,0.911004174849238
2.8000000000000003,0.000616783531593779,0.000563768454690279,0.9140458942434664
2.9000000000000004,0.0006227370197545237,0.0005710136266389559,0.9169418366424456
3,0.0006288645037717677,0.0005783684638279322,0.9197028300357657
3.1,0.0006351477285712794,0.0005858212673168793,0.9223386008710814
3.2,0.0006415707765111398,0.0005933617981520927,0.9248578954590055
3.3000000000000003,0.0006481197100721485,0.0006009811280235891,0.9272687108322752
3.4000000000000004,0.0006547822777683685,0.0006086713882379863,0.9295782871712144
3.5,0.000661547670638799,0.0006164256452630792,0.9317932367108943
3.6,0.0006684063194845726,0.0006242377263638567,0.9339195458912244
3.7,0.0006753497251392119,0.0006321021967520845,0.9359627659902984
3.8000000000000003,0.0006823703156810227,0.0006400141638965286,0.9379279098003821
3.9000000000000004,0.0006894613257448912,0.0006479693406053501,0.9398197062109128
4,0.0006966166940586258,0.0006559637604630331,0.9416423207449411
4.1000000000000005,0.0007038309760848567,0.0006639938998125339,0.9433996547098265
4.2,0.0007110992692435407,0.00067205673605302,0.9450955233971008
4.3,0.0007184171486601291,0.0006801493185020969,0.9467331337658031
4.4,0.0007257806117583362,0.0006882691760404095,0.948315737414026
4.5,0.0007331860303156337,0.0006964138286858367,0.9498460143683225
4.6000000000000005,0.000740630108840272,0.0007045813687274055,0.9513269313756174
4.7,0.0007481098483232692,0.0007127697639706335,0.9527608352812852
4.800000000000001,0.0007556225145769173,0.0007209772311137471,0.9541500116859692
4.9,0.0007631656105003629,0.0007292022197877221,0.9554966965946315
5,0.0007707368517187478,0.0007374433992833225,0.9568030873816651
5.1000000000000005,0.0007783341451294347,0.0007456991616016307,0.9580707287069142
5.2,0.0007859555699609054,0.000753968502598864,0.9593016850002953
5.300000000000001,0.0007935993610096965,0.0007622502529811042,0.960497563923556
5.4,0.0008012638937705533,0.000770543386406311,0.9616599380016001
5.5,0.0008089476712165839,0.0007788470124800923,0.9627903512087217
5.6000000000000005,0.0008166493120211431,0.0007871599942279946,0.9638898639121305
5.7,0.0008243675400425699,0.0007954819255205617,0.964960271821818
5.800000000000001,0.0008321011749177247,0.0008038116567765979,0.9660023095822163
5.9,0.000839849123631271,0.0008121487859598462,0.9670174833883778
6,0.0008476103729455524,0.0008204926147598265,0.968006811795509
6.1000000000000005,0.0008553839825910721,0.0008288425216081272,0.9689712906447614
6.2,0.0008631690791306283,0.0008371979585252634,0.9699118964832214
6.300000000000001,0.00087096485042124,0.0008455584484627913,0.970829589797842
6.4,0.0008787705406076054,0.000853923583098346,0.9717253180880647
6.5,0.0008865854455890373,0.0008622927325758377,0.9725996934259847
6.6000000000000005,0.00089440890890888,0.0008706656208585966,0.973453654347821
6.7,0.0009022403180216709,0.0008790419373422984,0.974288024802262
6.800000000000001,0.0009100791008984556,0.0008874211801142262,0.9751033500693941
6.9,0.0009179247229355025,0.0008958030699812127,0.97590036263154
7,0.0009257766841354682,0.0009041874600283163,0.9766798792007676
7.1000000000000005,0.0009336345165337609,0.0009125738872208436,0.9774423193016604
7.2,0.0009414977818458255,0.000920962000956258,0.9781881792123751
7.300000000000001,0.0009493660693137332,0.0009293517287454241,0.9789182053001148
7.4,0.0009572389937329692,0.0009377428150870366,0.9796329038269713
7.5,0.0009651161936421488,0.0009461350341331355,0.980332772743785
7.6000000000000005,0.0009729973296604772,0.0009545281890429091,0.981018302872411
7.7,0.0009808820829591692,0.000962922111455743,0.9816899790347442
7.800000000000001,0.0009887701538546024,0.0009713166111931037,0.9823482306848986
7.9,0.0009966612605121546,0.0009797112421749121,0.9829932003893355
8,0.0010045551377508536,0.0009881061821161031,0.9836256318676755
8.1,0.0010124515359399135,0.0009965013668332416,0.9842459924841099
8.200000000000001,0.0010203502199791637,0.001004896436999003,0.9848544326471785
8.3,0.001028250968356074,0.0010132911447247248,0.9854511942203503
8.4,0.0010361535722729063,0.0010216859215854983,0.9860371560022017
8.5,0.001044057834838012,0.0010300798123876178,0.9866118312760299
8.6,0.0010519635703159895,0.0010384736042862311,0.9871763943064052
8.700000000000001,0.0010598706034317602,0.0010468663772255006,0.9877303642877224
8.8,0.001067778768724241,0.0010552589565305246,0.9882749006063541
8.9,0.0010756879099455847,0.0010636500933562103,0.9888091922591347
9,0.001083597879502291,0.0010720407553074253,0.9893344898384501
9.1,0.0010915085379349715,0.0010804304572177793,0.9898506696629686
9.200000000000001,0.0010994197534336548,0.0010888188278401886,0.9903577086364349
9.3,0.0011073314013859544,0.0010972063619908534,0.990856360270802
9.4,0.001115243363955506,0.0011055929443206053,0.991346803803725
9.5,0.001123155529688451,0.0011139777975853284,0.9918286186903534
9.600000000000001,0.001131067793145763,0.0011223614693524305,0.9923025623697426
9.700000000000001,0.0011389800545596256,0.0011307439338674593,0.9927688631076593
9.8,0.0011468922195119343,0.0011391251062672757,0.9932276868632313
9.9,0.0011548041986334389,0.0011475049083751274,0.9936791966404788
