r,Standard_Modes,HyperTwist_Extra_Mode,Ratio
0.1,0.000000000000000000001,0.0000000000000000002175556699509605,217.55566995096052
0.2,0.000000000000000000001,0.000000000000000000019224545043186616,19.224545043186616
0.30000000000000004,0.000000000000000000001,0.0000000000000000000041404959378922154,4.140495937892216
0.4,0.000000000000000000001,0.0000000000000000000012999497974893899,1.29994979748939
0.5,0.000000000000000000001,0.0000000000000000000005054409848746606,0.5054409848746607
0.6000000000000001,0.000000000000000000001,0.00000000000000000000022607160213932453,0.22607160213932456
0.7000000000000001,0.000000000000000000001,0.00000000000000000000011174997443442696,0.11174997443442697
0.8,0.000000000000000000001,0.00000000000000000000005957638081318048,0.05957638081318049
0.9,0.000000000000000000001,0.000000000000000000000033708715958215304,0.033708715958215306
1,0.000000000000000000001,0.000000000000000000000020016065972429964,0.020016065972429966
1.1,0.000000000000000000001,0.000000000000000000000012371761708181754,0.012371761708181755
1.2000000000000002,0.000000000000000000001,0.000000000000000000000007910809168628468,0.007910809168628468
1.3,0.000000000000000000001,0.000000000000000000000005207970011914424,0.0052079700119144244
1.4000000000000001,0.000000000000000000001,0.000000000000000000000003516619389443445,0.0035166193894434453
1.5,0.000000000000000000001,0.0000000000000000000000024280543791909778,0.002428054379190978
1.6,0.000000000000000000001,0.000000000000000000000001709906160501154,0.001709906160501154
1.7000000000000002,0.000000000000000000001,0.0000000000000000000000012256165635867453,0.0012256165635867453
1.8,0.000000000000000000001,0.0000000000000000000000008925579486662477,0.0008925579486662478
1.9000000000000001,0.000000000000000000001,0.00000000000000000000000065942089353191635,0.0006594208935319164
2,0.000000000000000000001,0.0000000000000000000000004935947117916608,0.0004935947117916609
2.1,0.000000000000000000001,0.00000000000000000000000037391421331397986,0.0003739142133139799
2.2,0.000000000000000000001,0.00000000000000000000000028637910506990364,0.00028637910506990364
2.3000000000000003,0.000000000000000000001,0.000000000000000000000000221566686860476,0.00022156668686047602
2.4000000000000004,0.000000000000000000001,0.00000000000000000000000017303373021270542,0.00017303373021270544
2.5,0.000000000000000000001,0.0000000000000000000000001363096158852234,0.00013630961588522342
2.6,0.000000000000000000001,0.00000000000000000000000010825036008915383,0.00010825036008915384
2.7,0.000000000000000000001,0.00000000000000000000000008661719126686987,0.00008661719126686988
2.8000000000000003,0.000000000000000000001,0.00000000000000000000000006979734092669961,0.00006979734092669961
2.9000000000000004,0.000000000000000000001,0.0000000000000000000000000566163887389969,0.000056616388738996906
3,0.000000000000000000001,0.000000000000000000000000046210449879937076,0.00004621044987993708
3.1,0.000000000000000000001,0.00000000000000000000000003793803326473565,0.000037938033264735654
3.2,0.000000000000000000001,0.00000000000000000000000003131854749079692,0.00003131854749079692
3.3000000000000003,0.000000000000000000001,0.0000000000000000000000000259889286167402,0.0000259889286167402
3.4000000000000004,0.000000000000000000001,0.00000000000000000000000002167273502949476,0.000021672735029494764
3.5,0.000000000000000000001,0.000000000000000000000000018157912843834364,0.000018157912843834365
3.6,0.000000000000000000001,0.000000000000000000000000015280653431255894,0.000015280653431255894
3.7,0.000000000000000000001,0.000000000000000000000000012913572939657757,0.000012913572939657758
3.8000000000000003,0.000000000000000000001,0.000000000000000000000000010956986095668145,0.000010956986095668145
3.9000000000000004,0.000000000000000000001,0.000000000000000000000000009332414538504924,0.000009332414538504924
4,0.000000000000000000001,0.00000000000000000000000000797772208482126,0.000007977722084821261
4.1000000000000005,0.000000000000000000001,0.000000000000000000000000006843443785775752,0.000006843443785775753
4.2,0.000000000000000000001,0.0000000000000000000000000058899974535499415,0.000005889997453549942
4.3,0.000000000000000000001,0.000000000000000000000000005085552131990692,0.0000050855521319906924
4.4,0.000000000000000000001,0.000000000000000000000000004404388915609417,0.000004404388915609418
4.5,0.000000000000000000001,0.0000000000000000000000000038256331321329306,0.0000038256331321329306
4.6000000000000005,0.000000000000000000001,0.000000000000000000000000003332268353757075,0.0000033322683537570752
4.7,0.000000000000000000001,0.000000000000000000000000002910365545332156,0.0000029103655453321563
4.800000000000001,0.000000000000000000001,0.0000000000000000000000000025484773633352275,0.0000025484773633352277
4.9,0.000000000000000000001,0.00000000000000000000000000223715991698562,0.00000223715991698562
5,0.000000000000000000001,0.0000000000000000000000000019685934124223094,0.0000019685934124223098
5.1000000000000005,0.000000000000000000001,0.0000000000000000000000000017362798896587618,0.0000017362798896587619
5.2,0.000000000000000000001,0.0000000000000000000000000015348013506238637,0.0000015348013506238638
5.300000000000001,0.000000000000000000001,0.0000000000000000000000000013596254120232195,0.0000013596254120232196
5.4,0.000000000000000000001,0.0000000000000000000000000012069485231018276,0.0000012069485231018277
5.5,0.000000000000000000001,0.0000000000000000000000000010735690020535702,0.0000010735690020535704
5.6000000000000005,0.000000000000000000001,0.0000000000000000000000000009567838392547697,0.0000009567838392547697
5.7,0.000000000000000000001,0.0000000000000000000000000008543045186847067,0.0000008543045186847068
5.800000000000001,0.000000000000000000001,0.0000000000000000000000000007641881157920584,0.0000007641881157920585
5.9,0.000000000000000000001,0.0000000000000000000000000006847807114949926,0.0000006847807114949926
6,0.000000000000000000001,0.0000000000000000000000000006146707710543126,0.0000006146707710543127
6.1000000000000005,0.000000000000000000001,0.0000000000000000000000000005526506132276021,0.0000005526506132276021
6.2,0.000000000000000000001,0.000000000000000000000000000497684469668004,0.0000004976844696680041
6.300000000000001,0.000000000000000000001,0.0000000000000000000000000004488819299905139,0.0000004488819299905139
6.4,0.000000000000000000001,0.0000000000000000000000000004054758018694909,0.000000405475801869491
6.5,0.000000000000000000001,0.0000000000000000000000000003668036014357317,0.0000003668036014357317
6.6000000000000005,0.000000000000000000001,0.0000000000000000000000000003322920374938749,0.0000003322920374938749
6.7,0.000000000000000000001,0.00000000000000000000000000030144397171061363,0.00000030144397171061367
6.800000000000001,0.000000000000000000001,0.0000000000000000000000000002738274321646385,0.00000027382743216463855
6.9,0.000000000000000000001,0.0000000000000000000000000002490663343575826,0.0000002490663343575826
7,0.000000000000000000001,0.0000000000000000000000000002268326257602715,0.00000022683262576027151
7.1000000000000005,0.000000000000000000001,0.00000000000000000000000000020683962019184975,0.00000020683962019184978
7.2,0.000000000000000000001,0.00000000000000000000000000018883632914906654,0.00000018883632914906656
7.300000000000001,0.000000000000000000001,0.0000000000000000000000000001726026304747887,0.0000001726026304747887
7.4,0.000000000000000000001,0.00000000000000000000000000015794514194985986,0.00000015794514194985987
7.5,0.000000000000000000001,0.00000000000000000000000000014469368968071767,0.00000014469368968071768
7.6000000000000005,0.000000000000000000001,0.00000000000000000000000000013269827947025946,0.00000013269827947025948
7.7,0.000000000000000000001,0.00000000000000000000000000012182649444812927,0.00000012182649444812928
7.800000000000001,0.000000000000000000001,0.00000000000000000000000000011196125469836532,0.00000011196125469836532
7.9,0.000000000000000000001,0.00000000000000000000000000010299888493958499,0.00000010299888493958499
8,0.000000000000000000001,0.00000000000000000000000000009484744487488838,0.00000009484744487488839
8.1,0.000000000000000000001,0.00000000000000000000000000008742528395052776,0.00000008742528395052777
8.200000000000001,0.000000000000000000001,0.0000000000000000000000000000806597881996693,0.00000008065978819966931
8.3,0.000000000000000000001,0.00000000000000000000000000007448629180823163,0.00000007448629180823164
8.4,0.000000000000000000001,0.00000000000000000000000000006884713019334627,0.00000006884713019334627
8.5,0.000000000000000000001,0.0000000000000000000000000000636908148700744,0.00000006369081487007441
8.6,0.000000000000000000001,0.00000000000000000000000000005897131331218552,0.00000005897131331218552
8.700000000000001,0.000000000000000000001,0.00000000000000000000000000005464741948135656,0.00000005464741948135657
8.8,0.000000000000000000001,0.0000000000000000000000000000506822027828644,0.000000050682202782864406
8.9,0.000000000000000000001,0.000000000000000000000000000047042524968073856,0.00000004704252496807386
9,0.000000000000000000001,0.0000000000000000000000000000436986159971558,0.0000000436986159971558
9.1,0.000000000000000000001,0.00000000000000000000000000004062370114289955,0.000000040623701142899555
9.200000000000001,0.000000000000000000001,0.000000000000000000000000000037793672694253655,0.000000037793672694253656
9.3,0.000000000000000000001,0.000000000000000000000000000035186800536320135,0.00000003518680053632014
9.4,0.000000000000000000001,0.000000000000000000000000000032783476666931203,0.000000032783476666931206
9.5,0.000000000000000000001,0.00000000000000000000000000003056598937953562,0.00000003056598937953562
9.600000000000001,0.000000000000000000001,0.00000000000000000000000000002851832341537987,0.000000028518323415379873
9.700000000000001,0.000000000000000000001,0.00000000000000000000000000002662598287953953,0.00000002662598287953953
9.8,0.000000000000000000001,0.000000000000000000000000000024875834137536892,0.000000024875834137536893
9.9,0.000000000000000000001,0.000000000000000000000000000023255966272430168,0.00000002325596627243017
10,0.000000000000000000001,0.00000000000000000000000000002175556699509606,0.00000002175556699509606
