z,Growth_Î›CDM,Growth_HyperTwist,Ratio
0,1,1.15,1.15
0.1,0.9090909090909091,1.0330578512396693,1.1363636363636362
0.2,0.8333333333333334,0.9356060606060607,1.1227272727272728
0.30000000000000004,0.7692307692307692,0.8531468531468531,1.1090909090909091
0.4,0.7142857142857143,0.7824675324675325,1.0954545454545455
0.5,0.6666666666666666,0.7212121212121212,1.0818181818181818
0.6000000000000001,0.625,0.6676136363636364,1.0681818181818181
0.7000000000000001,0.588235294117647,0.6203208556149731,1.0545454545454545
0.8,0.5555555555555556,0.5782828282828284,1.040909090909091
0.9,0.5263157894736842,0.5406698564593302,1.0272727272727273
1,0.5,0.5068181818181818,1.0136363636363637
1.1,0.47619047619047616,0.47619047619047616,1
1.2000000000000002,0.45454545454545453,0.4526859504132231,0.9959090909090909
1.3,0.4347826086956522,0.43137996219281666,0.9921739130434782
1.4000000000000001,0.41666666666666663,0.4119791666666666,0.98875
1.5,0.4,0.39424000000000003,0.9856
1.6,0.3846153846153846,0.37795857988165676,0.9826923076923076
1.7000000000000002,0.37037037037037035,0.36296296296296293,0.98
1.8,0.35714285714285715,0.3491071428571429,0.9775
1.9000000000000001,0.3448275862068965,0.3362663495838288,0.9751724137931036
2,0.3333333333333333,0.3243333333333333,0.973
2.1,0.3225806451612903,0.3132154006243496,0.9709677419354839
2.2,0.3125,0.30283203125,0.9690625
2.3000000000000003,0.303030303030303,0.2931129476584022,0.9672727272727274
2.4000000000000004,0.2941176470588235,0.2839965397923875,0.9655882352941176
2.5,0.2857142857142857,0.2754285714285714,0.964
2.6,0.2777777777777778,0.2673611111111111,0.9624999999999999
2.7,0.27027027027027023,0.2597516435354273,0.9610810810810811
2.8000000000000003,0.2631578947368421,0.25256232686980606,0.9597368421052631
2.9000000000000004,0.2564102564102564,0.2457593688362919,0.9584615384615385
3,0.25,0.2393125,0.95725
3.1,0.24390243902439027,0.2331945270672219,0.9560975609756097
3.2,0.23809523809523808,0.22738095238095235,0.955
3.3000000000000003,0.2325581395348837,0.22184964845862626,0.953953488372093
3.4000000000000004,0.22727272727272727,0.2165805785123967,0.9529545454545455
3.5,0.2222222222222222,0.21155555555555552,0.952
3.6,0.2173913043478261,0.20675803402646506,0.9510869565217391
3.7,0.2127659574468085,0.20217292892711636,0.9502127659574469
3.8000000000000003,0.20833333333333331,0.1977864583333333,0.949375
3.9000000000000004,0.2040816326530612,0.19358600583090377,0.9485714285714286
4,0.2,0.18956,0.9478
4.1000000000000005,0.196078431372549,0.18569780853517875,0.9470588235294118
4.2,0.1923076923076923,0.18198964497041417,0.9463461538461537
4.3,0.18867924528301888,0.17842648629405486,0.9456603773584907
4.4,0.18518518518518517,0.175,0.945
4.5,0.18181818181818182,0.171702479338843,0.9443636363636365
4.6000000000000005,0.17857142857142855,0.1685267857142857,0.9437500000000001
4.7,0.17543859649122806,0.165466297322253,0.9431578947368421
4.800000000000001,0.17241379310344826,0.16251486325802614,0.9425862068965517
4.9,0.1694915254237288,0.15966676242459063,0.9420338983050848
5,0.16666666666666666,0.15691666666666665,0.9414999999999999
5.1000000000000005,0.16393442622950818,0.15425960763235688,0.940983606557377
5.2,0.16129032258064516,0.15169094693028096,0.940483870967742
5.300000000000001,0.15873015873015872,0.14920634920634918,0.9399999999999998
5.4,0.15625,0.14680175781250002,0.9395312500000002
5.5,0.15384615384615385,0.1444733727810651,0.939076923076923
5.6000000000000005,0.1515151515151515,0.14221763085399447,0.9386363636363636
5.7,0.14925373134328357,0.14003118734684783,0.9382089552238806
5.800000000000001,0.14705882352941174,0.1379108996539792,0.9377941176470588
5.9,0.14492753623188406,0.13585381222432263,0.9373913043478261
6,0.14285714285714285,0.13385714285714287,0.9370000000000002
6.1000000000000005,0.1408450704225352,0.13191827018448718,0.9366197183098591
6.2,0.1388888888888889,0.13003472222222223,0.93625
6.300000000000001,0.136986301369863,0.12820416588478137,0.935890410958904
6.4,0.13513513513513511,0.1264243973703433,0.9355405405405406
6.5,0.13333333333333333,0.12469333333333334,0.9352
6.6000000000000005,0.13157894736842105,0.1230090027700831,0.9348684210526316
6.7,0.12987012987012986,0.12136953955135772,0.9345454545454546
6.800000000000001,0.1282051282051282,0.1197731755424063,0.9342307692307692
6.9,0.12658227848101264,0.11821823425733054,0.9339240506329114
7,0.125,0.116703125,0.933625
7.1000000000000005,0.12345679012345677,0.11522633744855966,0.9333333333333333
7.2,0.12195121951219513,0.11378643664485427,0.9330487804878049
7.300000000000001,0.12048192771084336,0.1123820583538975,0.9327710843373493
7.4,0.11904761904761904,0.11101190476190476,0.9325
7.5,0.11764705882352941,0.10967474048442906,0.932235294117647
7.6000000000000005,0.11627906976744184,0.1083693888588426,0.9319767441860465
7.7,0.1149425287356322,0.10709472849782006,0.9317241379310345
7.800000000000001,0.11363636363636363,0.10584969008264462,0.9314772727272728
7.9,0.11235955056179775,0.10463325337709885,0.9312359550561797
8,0.1111111111111111,0.10344444444444445,0.931
8.1,0.10989010989010989,0.10228233305156383,0.9307692307692308
8.200000000000001,0.10869565217391303,0.10114603024574668,0.9305434782608697
8.3,0.1075268817204301,0.10003468609087754,0.9303225806451613
8.4,0.10638297872340426,0.09894748755092803,0.9301063829787234
8.5,0.10526315789473684,0.09788365650969529,0.9298947368421052
8.6,0.10416666666666667,0.09684244791666667,0.9296875
8.700000000000001,0.10309278350515463,0.09582314804973961,0.9294845360824743
8.8,0.1020408163265306,0.09482507288629737,0.9292857142857143
8.9,0.10101010101010101,0.0938475665748393,0.9290909090909091
9,0.1,0.09289000000000001,0.9289000000000001
9.1,0.09900990099009901,0.09195176943436918,0.9287128712871286
9.200000000000001,0.0980392156862745,0.09103229527104957,0.9285294117647057
9.3,0.0970873786407767,0.09013102083136959,0.9283495145631068
9.4,0.09615384615384615,0.08924741124260355,0.9281730769230769
9.5,0.09523809523809523,0.08838095238095238,0.928
9.600000000000001,0.09433962264150943,0.08753114987540049,0.9278301886792453
9.700000000000001,0.09345794392523364,0.08669752816839899,0.9276635514018692
9.8,0.09259259259259259,0.08587962962962963,0.9275
9.9,0.09174311926605504,0.08507701371938389,0.9273394495412846
